epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,11757.9,1.36091,1.16004,1.23842,0.6704,0.32886,0.37105,0.15506,2.27253,1.92091,1.80345,0.000158667,0.000158667,0.000158667
114,11861.5,1.38732,1.19388,1.24346,0.61882,0.33078,0.35992,0.15525,2.26585,1.91712,1.79634,0.000151336,0.000151336,0.000151336
115,11964.8,1.38035,1.1765,1.2442,0.63811,0.32569,0.3611,0.15783,2.26747,1.90962,1.80069,0.000144161,0.000144161,0.000144161
116,12069.3,1.37952,1.16232,1.23598,0.68036,0.33634,0.37404,0.16206,2.27138,1.91453,1.80282,0.000137143,0.000137143,0.000137143
117,12173.3,1.33469,1.1169,1.21382,0.61598,0.34657,0.37108,0.16326,2.26986,1.9104,1.80093,0.000130287,0.000130287,0.000130287
118,12277.4,1.33901,1.14215,1.21885,0.56848,0.37656,0.37895,0.1655,2.26865,1.91784,1.8007,0.000123596,0.000123596,0.000123596
119,12382.1,1.33362,1.118,1.21981,0.55726,0.3819,0.38047,0.17152,2.27068,1.91933,1.8045,0.000117072,0.000117072,0.000117072
120,12486.5,1.33757,1.12647,1.21233,0.59744,0.37329,0.38436,0.1701,2.27258,1.91885,1.80659,0.000110718,0.000110718,0.000110718
121,12590.7,1.32608,1.11883,1.21159,0.629,0.37682,0.39182,0.1703,2.27201,1.91448,1.80579,0.000104537,0.000104537,0.000104537
122,12694.8,1.31482,1.12094,1.22316,0.62406,0.38441,0.39052,0.17003,2.27285,1.91074,1.80935,9.85311e-05,9.85311e-05,9.85311e-05
123,12799.1,1.32478,1.10737,1.21051,0.59792,0.38485,0.38351,0.16844,2.27804,1.90743,1.81253,9.2704e-05,9.2704e-05,9.2704e-05
124,12902.7,1.33539,1.12246,1.21672,0.60982,0.38185,0.38336,0.16719,2.27728,1.90113,1.81415,8.70577e-05,8.70577e-05,8.70577e-05
125,13006.3,1.28808,1.07263,1.19813,0.61567,0.38273,0.37962,0.16557,2.2776,1.90322,1.81534,8.15947e-05,8.15947e-05,8.15947e-05
126,13109.7,1.3179,1.08662,1.20316,0.60937,0.38873,0.38254,0.17024,2.27901,1.90564,1.81362,7.63174e-05,7.63174e-05,7.63174e-05
127,13213,1.30875,1.11493,1.20338,0.60854,0.39239,0.38504,0.16871,2.27579,1.89814,1.81122,7.12282e-05,7.12282e-05,7.12282e-05
128,13316.5,1.30302,1.09548,1.20093,0.61321,0.37681,0.38629,0.1748,2.27452,1.89457,1.81146,6.63292e-05,6.63292e-05,6.63292e-05
129,13419.9,1.31035,1.09283,1.19588,0.61796,0.3751,0.38421,0.17148,2.2744,1.89325,1.81116,6.16227e-05,6.16227e-05,6.16227e-05
